Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,1000,137,72,1405,139.96,0.000%,116.48224,32.42,66.43,285.0
TOTAL,1000,137,72,1405,139.96,0.000%,116.48224,32.42,66.43,285.0
