Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,1000,106,72,1606,81.74,0.000%,85.74123,23.86,48.90,285.0
TOTAL,1000,106,72,1606,81.74,0.000%,85.74123,23.86,48.90,285.0
