Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,5000,146,70,1996,154.15,0.000%,141.08750,39.27,80.46,285.0
TOTAL,5000,146,70,1996,154.15,0.000%,141.08750,39.27,80.46,285.0
