Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,500,121,72,566,59.40,0.000%,68.99407,19.20,39.35,285.0
TOTAL,500,121,72,566,59.40,0.000%,68.99407,19.20,39.35,285.0
