Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
weatherData,100,324,162,452,84.93,0.000%,72.35890,20.49,41.76,290.0
TOTAL,100,324,162,452,84.93,0.000%,72.35890,20.49,41.76,290.0
